businessname,legalowner,licenseno,licstatus,resultdttm,result,address,city,state,zip
AK'S TAKEOUT,Robert Dunkle,430834,Active,2021-03-26T14:23:30Z,Fail,309   D ST,South Boston,MA,2127
ALFREDO'S ITALIAN KITCHEN,,23175,Active,2021-02-05T10:43:34Z,Pass,243   Dorchester ST,South Boston,MA,2127
AMRHEIN'S,Mulrey Joseph,18844,Active,2021-04-02T12:48:30Z,Pass,80 W BROADWAY,SOUTH BOSTON,MA,2127
ANDREW SQUARE HOUSE OF PIZZA,Manias Nicholas,377074,Active,2021-03-09T15:38:30Z,Fail,395  Dorchester ST,South Boston,MA,2127
BOSTON BAGEL COMPANY,,353202,Active,2021-02-16T11:24:52Z,Pass,753 E Broadway,South Boston,MA,2127
BROADWAY PASTRY,,148349,Active,2021-02-24T14:59:20Z,Pass,258 W Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,407350,Active,2021-02-03T15:55:43Z,Pass,483 E Broadway,South Boston,MA,2127
BURGER KING,Omar Bentaj/iftikhar Bhati,86896,Active,2021-02-08T15:36:18Z,Fail,280 W Broadway,South Boston,MA,2127
C & G SERVICE,,129879,Active,2021-01-27T15:37:45Z,Fail,77  L ST,South Boston,MA,2127
CAFE MAMTAZ,Bishop,34590,Active,2020-11-13T15:56:19Z,Pass,87   L STREET ST,SOUTH BOSTON,MA,2127
CAFE POLONIA,Darek Barcikowski,22381,Active,2021-04-22T14:48:03Z,Pass,611   Dorchester AVE,South Boston,MA,2127
CAFE PORTO BELLO,,20251,Active,2020-11-20T15:19:46Z,Fail,672 E Broadway,South Boston,MA,2127
CAFFE NERO,,319055,Active,2021-03-23T14:16:48Z,Fail,416 W Broadway,South Boston,MA,2127
CLOCK TAVERN,,18229,Active,2021-02-16T14:37:19Z,Pass,342 W BROADWAY,SOUTH BOSTON,MA,2127
COFFEE SHOP,Rekowski Andrew,18489,Active,2021-02-12T11:11:44Z,Pass,11   Elkins ST,South Boston,MA,2127
COPPERSMITH HALL,Conticast Corporation,127125,Active,2020-12-09T15:47:47Z,Pass,30 W Third ST,South Boston,MA,2127
CROKE PARK,,19674,Active,2021-03-17T15:10:46Z,Pass,268 W Broadway,South Boston,MA,2127
CVS/PHARMACY NO. 979,Cvs Lic. Dept./therese Fluette,24413,Active,2021-01-25T15:38:00Z,Fail,423 W Broadway,South Boston,MA,2127
DEJA - BREW,Walsh Catherine J,20241,Active,2021-04-02T14:01:47Z,Fail,704 E Broadway,South Boston,MA,2127
DOMINO'S PIZZA,,80529,Active,2021-03-02T13:53:21Z,Pass,163   Old Colony AVE,South Boston,MA,2127
DOUGHBOY DONUTS & DELI,Powers James R Trst,85000,Active,2021-01-28T13:10:05Z,Fail,220   Dorchester AVE,South Boston,MA,2127
DUNKIN DONUTS,,30498,Active,2021-02-10T10:58:14Z,Fail,1   Harbor ST,South Boston,Ma,2127
DUNKIN DONUTS (48 W BROADWAY),,80139,Active,2021-02-09T10:47:48Z,Fail,48 W Broadway,South Boston,MA,2127
DUNKIN DONUTS AT OLD COLONY,John Gillespie,20629,Active,2021-03-24T11:16:40Z,Pass,75   OLD COLONY  AV,SOUTH BOSTON,MA,2127
ETHEL & ANDY'S SUB SHOP,Rekowski,18676,Active,2021-02-12T10:46:28Z,Pass,134  K ST,South Boston,MA,2127
FOX & THE KNIFE,,379383,Active,2020-10-01T14:31:40Z,Pass,28 W Broadway,South Boston,MA,2127
FROMAGE,,81028,Active,2021-03-25T14:47:09Z,Fail,399 W Broadway,South Boston,MA,2127
GILLETTE CAFETERIA,Sodexho Marriott,21252,Active,2020-11-20T10:43:01Z,Pass,1   Gillette PARK,South Boston,MA,2127
GO PUFF,Lahinch Limited Partnership,397841,Active,2020-12-16T11:40:40Z,Pass,371   Dorchester AVE,South Boston,MA,2127
GRAY'S HALL,,402199,Active,2021-03-17T12:37:02Z,Pass,615 E Broadway,South Boston,MA,2127
JP LICKS @ WEST BROADWAY,,358744,Active,2021-03-25T14:03:03Z,Fail,397 W Broadway,South Boston,MA,2127
L STREET DINER,Aob Corp,22832,Active,2020-12-04T13:31:17Z,Pass,108   L ST,South Boston,MA,2127
L STREET TAVERN,Woods,19279,Active,2021-03-05T15:32:24Z,Fail,195   L ST,South Boston,MA,2127
LAND OF PIZZA,,31878,Active,2020-12-09T14:57:59Z,Fail,445 W BROADWAY,SOUTH BOSTON,MA,2127
LARRY J'S BBQ CAFE,,80130,Active,2020-10-06T14:48:28Z,Fail,600   D ST,South Boston,MA,2210
LEE CHEN'S,,333798,Active,2020-11-04T16:36:38Z,Pass,475 W Broadway,South Boston,MA,2127
LINCOLN TAVERN,,79301,Active,2021-02-24T13:11:15Z,Fail,425 W Broadway,South Boston,MA,2127
LLANERA SUP. MARKET,Guerrero Franklin,28709,Active,2021-03-03T10:45:13Z,Pass,260 E Eighth ST,South Boston,MA,2127
LOCAL 149,Tower James M Ts,74840,Active,2020-08-07T13:17:36Z,Pass,143   P ST,South Boston,MA,2127
LOCO TAQUERIA & OYSTER BAR,Chew Peter,134050,Active,2021-03-13T19:57:15Z,Pass,412 W Broadway,South Boston,MA,2127
LOLA 42,,308743,Active,2020-11-03T15:26:52Z,Pass,20   Liberty DR,South Boston,MA,2210
LOLITA COCINA & TEQUILA BAR,Boston Hsr South Boston Llc,199400,Active,2020-10-09T11:20:13Z,Fail,253   Summer ST,Boston,MA,2127
LULU GREEN CAFE  BAKERY AND JUICE BAR,,406426,Active,2021-03-23T12:34:54Z,Pass,246 W Broadway,South Boston,MA,2127
MOLLY'S FARMHOUSE COFFEE,Kelley John T,352660,Active,2021-04-23T10:18:43Z,Pass,16  Preble ST,South Boston,MA,2127
MC GOO'S PIZZA,,161237,Active,2020-10-01T11:02:39Z,Pass,479 W Broadway,South Boston,MA,2127
MOKO,,353778,Active,2020-08-28T13:52:16Z,Fail,674 E Broadway,South Boston,MA,2127
MOLLY'S BEACHSIDE,George A. Silva,335235,Active,2020-06-30T15:30:26Z,Pass,165  William J Day BL,South Boston,MA,2127
MOONSHINE 152,,138482,Active,2020-11-04T19:47:59Z,Pass,152  Dorchester AVE,South Boston,MA,2127
MY DINER,,343399,Active,2021-02-17T11:29:30Z,Pass,455 E First ST,South Boston,MA,2127
OLGA'S KAFE,,410341,Active,2021-03-23T11:24:45Z,Pass,206 W Broadway,South Boston,MA,2127
OLYMPIC HOUSE OF PIZZA,Bolger Julilan,28456,Active,2021-02-10T15:34:48Z,Pass,655   EAST BROADWAY,South Boston,Ma,2127
ON THE EDGE NUTRITION,,420956,Active,2020-06-26T15:40:59Z,Pass,283  Old Colony AVE,South Boston,MA,2127
OTTO PIZZA,,414790,Active,2021-02-08T14:52:20Z,Pass,416 W Broadway,South Boston,MA,2127
PAN ASIA RESTAURANT,Wong Shui-mei,367136,Active,2021-03-11T14:55:52Z,Pass,720 E Broadway,South Boston,MA,2127
PERKIN'S SQ DELI,One 06 Dorchester St Llc,18439,Active,2021-03-11T13:11:37Z,Fail,106   Dorchester ST,South Boston,MA,2127
PUBLICO,R & K Inc,314698,Active,2021-03-12T15:33:35Z,Fail,11   Dorchester ST,South Boston,MA,2127
RED LINE PIZZA AND GRILL,,77211,Active,2021-03-22T14:38:11Z,Pass,582  Dorchester AVE,South Boston,MA,2127
RONDO'S SUB SHOP,Koufos Evangelos,18846,Active,2020-12-03T14:39:01Z,Fail,134 W Broadway,South Boston,MA,2127
ROSA MEXICANO,,77917,Active,2020-11-16T11:50:25Z,Fail,155   SEAPORT BL,South Boston/,MA,2127
ROZA LYONS,,158528,Active,2021-02-23T15:11:31Z,Fail,709 E Broadway,South Boston,MA,2127
SEAPOINT RESTAURANT,Coleman Mannion  Pres. Bayside Club,20484,Active,2021-04-08T15:25:53Z,Pass,367   EAST EIGHTH,SOUTH BOSTON,MA,2127
SHANNON'S TAVERN INC,Bowen John J,18482,Active,2021-03-18T15:33:17Z,Pass,558   EAST THIRD,SOUTH BOSTON,MA,2127
SHEA'S TAVERN,James & Robert Carney Shea's Tavern,20657,Active,2021-03-10T15:41:00Z,Pass,222 W Broadway,South Boston,MA,2127
SHENANAGANS BAR,,20334,Active,2021-02-16T14:04:50Z,Pass,332 W BROADWAY,SOUTH BOSTON,MA,2127
SIDEWALK CAFE,,22835,Active,2021-02-16T11:53:23Z,Pass,764 E Fourth ST,South Boston,MA,2127
SIX WEST,,410895,Active,2020-06-25T14:24:34Z,Pass,6 W Broadway,South Boston,MA,2127
SIXTH GEAR CASK & KITCHEN,,162259,Active,2020-11-13T17:27:26Z,Fail,81  L ST,South Boston,MA,2127
SOUTH BOSTON CHINESE,Shum David,18231,Active,2021-03-15T13:49:45Z,Fail,429 W BROADWAY,SOUTH BOSTON,MA,2127
SOUTH BOSTON MARKET,,197937,Active,2021-02-22T15:14:20Z,Fail,626   Dorchester AVE,South Boston,MA,2127
SOUTH BOSTON YACHT CLUB,Board Of Trustees,21203,Active,2020-09-29T15:54:07Z,Pass,1849   Columbia RD,South Boston,MA,2127
SPORTS CONNECTION BAR & GRILL,Angelo A. Attardo  Pres.,21263,Active,2021-04-23T12:12:57Z,Pass,560   Dorchester AVE,South Boston,MA,2127
STARBUCKS COFFEE COMPANY,,78060,Active,2021-02-16T10:38:49Z,Pass,11 W Broadway,South Boston,MA,2127
STATS BAR & GRILLE,Devlin Michael Ts,68489,Active,2021-03-09T13:04:31Z,Fail,77   Dorchester ST,South Boston,MA,2127
STOP & SHOP  NO. 053,,21719,Active,2021-03-08T15:32:43Z,Pass,713 E Broadway,South Boston,MA,2127
SUBWAY,,141241,Active,2021-03-05T14:23:46Z,Fail,11 W Broadway,South Boston,MA,2127
SULLIVAN'S,Sullivan,18833,Active,2020-06-08T11:07:32Z,Pass,2080   WM J DAY  BL,SOUTH BOSTON,MA,2127
SUPREME HOUSE OF PIZZA,Rotary Variety Store Inc,160954,Active,2020-11-04T11:04:57Z,Pass,309  Old Colony AVE,South Boston,MA,2127
TEMAZCAL CANTINA,,201182,Active,2021-04-01T14:50:22Z,Fail,250  Northern AVE,South Boston,MA,2210
TERIYAKI HOUSE,,22879,Active,2020-10-15T15:53:39Z,Pass,32 W Broadway,South Boston,MA,2127
THE BROADWAY RESTAURANT,Boston Beer Garden Giuseppe,318049,Active,2021-03-22T16:10:45Z,Pass,732 E Broadway,South Boston,MA,2127
THE GALLEY DINER,Paul Skudris,20014,Active,2021-04-08T12:00:23Z,Pass,11   P STREET ST,SOUTH BOSTON,MA,2127
THE HUB,Chiminiello Robyn,156012,Active,2021-04-13T15:44:41Z,Pass,604 E Broadway,South Boston,MA,2127
THE JUICE BOX,,166081,Active,2021-04-15T12:31:14Z,Pass,359 W Broadway,South Boston,MA,2127
THE PARAMOUNT,,75944,Active,2020-09-30T15:31:48Z,Pass,667 E Broadway,South Boston,MA,2127
THE PLAYWRIGHT,Bolger Julilan,21571,Active,2021-03-22T15:07:09Z,Pass,658 E Broadway,South Boston,MA,2127
THE PURPLE SHELL,,398702,Active,2021-03-12T14:16:03Z,Pass,11 W Broadway,South Boston,MA,2127
TOM ENGLISH COTTAGE,English Thomas A Jr,18495,Active,2021-02-25T15:38:34Z,Pass,112   Emerson ST,South Boston,MA,2127
TONY C'S SPORTS BAR & GRILL,,68640,Active,2021-04-01T14:32:45Z,Fail,250  Northern AVE,South Boston,MA,2210
TOUCHIE'S SHAMROCK PUB,,24118,Active,2021-02-26T14:36:46Z,Fail,501 E Eighth ST,South Boston,MA,2127
WALGREENS NO. 17169,Maxi Drugs  Inc. Brooks Lic. Dept.,362268,Active,2021-01-25T12:00:14Z,Fail,710 E Broadway,South Boston,MA,2127
WAVE HEALTH & FITNESS,Seaport Hotel Attn: Micha,23075,Active,2021-04-21T15:11:17Z,Pass,1   SEAPORT LA,SOUTH BOSTON,MA,2210
WEST SEVENTH MINI MARKET,Chaletzky Stephen E Ts,80504,Active,2021-03-08T14:12:32Z,Pass,51 W Seventh ST,South Boston,MA,2127
WORDEN HALL,,138566,Active,2021-04-14T15:23:16Z,Pass,22 W Broadway,South Boston,MA,2127
